timestamp_pickup,day_of_week,start_city,end_city,double_delivery,duration_min,distance_miles,paid_distance,paid_time,min_fare_supplement,pickup_fee,dropoff_fee,tips,surge,boost,uber_receives,total
6/14/19 17:44,Friday,,,,,,2.78,$3.36 ,,$1.05 ,$0.70 ,,,,,$7.89 
6/14/19 18:03,Friday,,,,,,3.79,$4.37 ,,$1.05 ,$0.70 ,,,,,$9.91 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,20.2180,4.80,105.37,167.90,22.83,53.56,37.10,75.00,1.00,33.06,172.29,495.82
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
